variable,group,description,modeling_use,caveat
month,demand_base_or_existing_proxy,모델 입력 후보 변수. 상세 출처는 그룹별 설명 문서 참고.,모델 입력 후보 변수. 상세 출처는 그룹별 설명 문서 참고.,
year,demand_base_or_existing_proxy,모델 입력 후보 변수. 상세 출처는 그룹별 설명 문서 참고.,모델 입력 후보 변수. 상세 출처는 그룹별 설명 문서 참고.,
data_status,demand_base_or_existing_proxy,모델 입력 후보 변수. 상세 출처는 그룹별 설명 문서 참고.,모델 입력 후보 변수. 상세 출처는 그룹별 설명 문서 참고.,
alcoholic_beer_total_proxy_kl,demand_base_or_existing_proxy,전체 알코올 맥주 월별 수요 proxy(kL). 공식 연간 apparent market을 월별 수입맥주/검색량으로 분해.,전체 알코올 맥주 월별 수요 proxy(kL). 공식 연간 apparent market을 월별 수입맥주/검색량으로 분해.,실제 내부 판매량이 아니라 공개자료 기반 proxy 또는 생성값.
regular_beer_excluding_low_calorie_proxy_kl,demand_base_or_existing_proxy,저칼로리/라이트를 제외한 일반 맥주 월별 수요 proxy(kL).,저칼로리/라이트를 제외한 일반 맥주 월별 수요 proxy(kL).,실제 내부 판매량이 아니라 공개자료 기반 proxy 또는 생성값.
low_calorie_light_beer_proxy_kl,demand_base_or_existing_proxy,저칼로리/라이트 맥주 월별 수요 proxy(kL). Cass Light 공개 점유율과 성장 보도를 반영.,저칼로리/라이트 맥주 월별 수요 proxy(kL). Cass Light 공개 점유율과 성장 보도를 반영.,실제 내부 판매량이 아니라 공개자료 기반 proxy 또는 생성값.
nonalcoholic_beer_proxy_kl,demand_base_or_existing_proxy,논알콜/무알콜 맥주 월별 수요 proxy(kL). 시장규모 금액과 검색량 기반 생성.,논알콜/무알콜 맥주 월별 수요 proxy(kL). 시장규모 금액과 검색량 기반 생성.,실제 내부 판매량이 아니라 공개자료 기반 proxy 또는 생성값.
nonalcoholic_beer_market_value_proxy_million_krw,demand_base_or_existing_proxy,모델 입력 후보 변수. 상세 출처는 그룹별 설명 문서 참고.,모델 입력 후보 변수. 상세 출처는 그룹별 설명 문서 참고.,실제 내부 판매량이 아니라 공개자료 기반 proxy 또는 생성값.
cass_fresh_proxy_kl,demand_base_or_existing_proxy,Cass Fresh 월별 수요 proxy(kL). 실제 판매량이 아니라 공개 점유율 기반 시나리오 값.,Cass Fresh 월별 수요 proxy(kL). 실제 판매량이 아니라 공개 점유율 기반 시나리오 값.,실제 내부 판매량이 아니라 공개자료 기반 proxy 또는 생성값.
cass_light_proxy_kl,demand_base_or_existing_proxy,Cass Light 월별 수요 proxy(kL). 실제 판매량이 아니라 공개 점유율 기반 시나리오 값.,Cass Light 월별 수요 proxy(kL). 실제 판매량이 아니라 공개 점유율 기반 시나리오 값.,실제 내부 판매량이 아니라 공개자료 기반 proxy 또는 생성값.
